100043468	Zfp955b
Ccdc123	Cep89
Cdt6 (angiopoietin-like)	Angptl7
Centrin 3	Cetn3
Centrin 4	Cetn4
Centrin-2	Cetn2
Cep63	Cep63
Cep97	Cep97
Cerebellin 1	Cbln1
Cereblon	Crbn
Chapsyn-110	Dlg2
Chitotriosidase	Chit1
Chromogranin A	Chga
Citron	Cit
Clathrin heavy chain	Cltc
Clathrin light chain B	Cltb
Claudin-10	Cldn10
Claudin-11	Cldn11
Claudin-12	Cldn12
Claudin-16	Cldn16
Clmn	Clmn
ClpP	Clpp
Cml1	Nat8f1
CoREST	Rcor1
CoactosinLP	Cotl1
Cofilin, muscle	Cfl2
Collagen VII	Col7a1
Connexin 30.2/ 31.3	Gjc3
Connexin 43	Gja1
Connexin 46	Gja3
Contactin 2	Cntn2
Copine-5	Cpne5
Cortexin 1	Ctxn1
Cortexin 2	Ctxn2
Cosmc	C1galt1c1
Creatine transporter 1 (SLC6A8)	Slc6a8
Cryptdin4	Defa4
Csk	Csk
Csmd1	Csmd1
CtBP2	Ctbp2
Ctsll3_70202	Ctsll3
Cullin 1	Cul1
Cullin 4A	Cul4a
Cullin 4B	Cul4b
Cyclin D1	Ccnd1
Cyclin D2	Ccnd2
Cyclin D3	Ccnd3
Cyclin E2	Ccne2
Cyclin F	Ccnf
Cyclin K	Ccnk
Cyclin L1	Ccnl1
Cyclin M1	Cnnm1
Cyclin T1	Ccnt1
Cyclin T2	Ccnt2
Cyclin-O	Ccno
Cyclon	Ccdc86
Cys1	Cys1
CysLT1 receptor	Cysltr1
Cystatin A	Csta1
Cystatin B	Cstb
Cystatin E/M	Cst6
Cytochrome c	Cycs
Cytoglobin	Cygb
Cytohesin1	Cyth1
Cytohesin3	Cyth3
D130052B06Rik	D130052B06Rik
D230010M03Rik	Harbi1
D2HGDH	D2hgdh
D52	Tpd52
D830036C21Rik	D830036C21Rik
DACT1	Dact1
DACT2	Dact2
DAD-1	Dad1
DAK	Tkfc
DAL1	Epb41l3
DALRD3	Dalrd3
DAN	Nbl1
DAND5	Dand5
DAPK1	Dapk1
DARPP-32	Ppp1r1b
DARS2	Dars2
DAT1	Lmo3
DBC1	Ccar2
DBCCR1	Brinp1
DBP	Dbp
DBS	Mcf2l
DCAF15	Dcaf15
DCAMKL1	Dclk1
DCAMKL2	Dclk2
DCAMKL3	Dclk3
DCDC2	Dcdc2a
DCN1	Dcun1d3
DCOR	Odc1
DCP2	Dcp2
DCTN3	Dctn3
DCTN6	Dctn6
DCUN1D4	Dcun1d4
DCUN1D5	Dcun1d5
DCXR	Dcxr
DDB2	Ddb2
DDC	Ddc
DDEF1	Asap1
DDEF2(PAG3)	Asap2
DDHD1	Ddhd1
DDHD2	Ddhd2
DDIT4L	Ddit4l
DDT	Ddt
DDX10	Ddx10
DDX17	Ddx17
DDX28	Ddx28
DDX30	Dhx30
DDX3X	Ddx3x
DDX3Y	D1Pas1
DDX46	Ddx46
DDX47	Ddx47
DDX5	Ddx5
DDX50	Ddx50
DDX6	Ddx6
DDX9	Dhx9
DECR	Decr1
DEDD	Dedd
DEFM	Pdf
DEK	Dek
DEM1	Exo5
DENND1A	Dennd1a
DENND1B	Dennd1b
DENND2C	Dennd2c
DENND4B	Dennd4b
DENND5B	Dennd5b
DENR	Denr
DEPDC1B	Depdc1b
DERA	Dera
DERP6	Elp5
DES1	Degs1
DEXI	Dexi
DGAT2	Dgat2
DGCR2	Dgcr2
DGCR8	Dgcr8
DGK-beta	Dgkb
DGK-epsilon	Dgke
DHB4	Hsd17b4
DHE3	Glud1
DHFR	Dhfr
DHPR	Qdpr
DHRS1	Dhrs1
DHRS10	Hsd17b14
DHRS3	Dhrs3
DHRS4	Dhrs4
DHSO	Sord
DHX15	Dhx15
DHX16	Dhx16
DHX32	Dhx32
DHX33	Dhx33
DHX34	Dhx34
DHX57	Dhx57
DIA1	Diaph1
DIAC	Ctbs
DIP2A	Dip2a
DIP2B	Dip2b
DIP2C	Dip2c
DIPA	Ccdc85b
DIS3L2	Dis3l2
DISP1	Disp1
DISP2	Disp2
DKFZP434B0335	Tecpr1
DKFZP686E2158	Smim15
DKFZp667G2110	Crybg3
DKFZp761B107	Ccdc149
DLDH	Dld
DLGAP1 (GKAP)	Dlgap1
DLGAP2	Dlgap2
DLGAP3 (SAPAP3)	Dlgap3
DLK	Dlk1
DLL1	Dll1
DLL1 (IC)	Dll1
DLL1 (TMIC)	Dll1
DLX5	Dlx5
DLX6	Dlx6
DMAP1	Dmap1
DMKN	Dmkn
DMP4	Fam20c
DMTF1	Dmtf1
DMXL1	Dmxl1
DNA polymerase beta	Polb
DNA polymerase kappa	Polk
DNA polymerase mu	Polm
DNA polymerase zeta	Rev3l
DNA2	Dna2
DNAH17	Dnah17
DNAJB11	Dnajb11
DNAJB12	Dnajb12
DNAJB14	Dnajb14
DNAJB2	Dnajb2
DNAJB5	Dnajb5
DNAJB6 (Hdj-1)	Dnajb6
DNAJC11	Dnajc11
DNAJC13	Dnajc13
DNAJC17	Dnajc17
DNAJC18	Dnajc18
DNAJC21	Dnajc21
DNAJC27	Dnajc27
DNAJC28	Dnajc28
DNAJC6	Dnajc6
DNAL1	Dnal1
DNAPTP6	Spats2l
DNER	Dner
DNJC1	Dnajc1
DNLZ	Dnlz
DNase1L2	Dnase1l2
DOC2A	Doc2a
DOCK10	Dock10
DOCK11	Dock11
DOCK3	Dock3
DOCK4	Dock4
DOHH	Dohh
DOM3Z	Dxo
DOS	Cbarp
DOT1	Dot1l
DP2	Tfdp2
DPF2	Dpf2
DPH4	Dnajc24
DPM3 (reg)	Dpm3
DPP4	Dpp4
DPP6	Dpp6
DPP8	Dpp8
DPY19L1	Dpy19l1
DPY19L3	Dpy19l3
DPY19L4	Dpy19l4
DR1	Dr1
DR6(TNFRSF21)	Tnfrsf21
DRAP1	Drap1
DRD1IP	Caly
DREAM	Kcnip3
DREV1	Mettl9
DRG1	Drg1
DRIP130	Med23
DROSHA	Drosha
DRP2	Drp2
DSCAM	Dscam
DSCAML1	Dscaml1
DT3UO	Ddit3
DTL (hCdt2)	Dtl
DTWD2	Dtwd2
DTX4	Dtx4
DUE-B	Dtd1
DUS4L	Dus4l
DUSP11	Dusp11
DUSP18	Dusp18
DUSP19	Dusp19
DUSP5	Dusp5
DUSP8	Dusp8
DVWA (DIVA)	Col6a4
DYLX2	D130043K22Rik
DYN-A(1-17)	Pdyn
DYNC1I1	Dync1i1
DYRK1a	Dyrk1a
DYRK3	Dyrk3
DZIP	Dzip1
DZIP3	Dzip3
Dbpht2	Dbpht2
Dcc	Dcc
Ddx3y (rodent)	Ddx3y
Ddx59	Ddx59
Defb6	Defb6
Defcr-rs2	Defa-rs2
Delta-catenin	Ctnnd2
Dematin	Dmtn
Derlin-3	Derl3
Derlin1	Derl1
Desmoglein 1-beta	Dsg1b
Destrin	Dstn
Dexras1	Rasd1
Dhrsx	Dhrsx
Dlx6os1	Dlx6os1
DnaJB9	Dnajb9
DnaJC9	Dnajc9
Dnaja4	Dnaja4
Dnajc16	Dnajc16
Doc2g	Doc2g
Doublecortin	Dcx
Dph1	Dph1
Drebrin	Dbn1
Dusp28	Dusp28
Dynamin-2	Dnm2
Dynein 1, cytoplasmic, heavy chain	Dync1h1
Dynorphin A(1-13)	Pdyn
Dysferlin	Dysf
Dyskerin (NAP57)	Dkc1
Dystroglycan	Dag1
Dystrophin	Dmd
E-FABP	Fabp5
E230016K23Rik	E230016K23Rik
E2F4	E2f4
E2F5	E2f5
E3b1(ABI-1)	Abi1
E430018J23Rik	Zfp764l1
E4BP4	Nfil3
E4F1	E4f1
EAF1	Eaf1
EAF2	Eaf2
EBAG9	Ebag9
ECE1	Ece1
ECE2	Ece2
ECE2	Eef1akmt4
ECE2	Eef1ece2
ECHDC2	Echdc2
ECHP	Ehhadh
EDEM3	Edem3
EDIL3	Edil3
EDR1	Phc1
EDR2	Phc2
EED	Eed
EEF1E1	Eef1e1
EEPD1	Eepd1
EF-hand domain-containing family member A2	Micu3
EFCAB7	Efcab7
EFCE2	Ece2
EFCE2	Eef1akmt4
EFCE2	Eef1ece2
EFEMP2	Efemp2
EFHA1	Micu2
EFHA2	Micu3
EFHD1	Efhd1
EFMT4	Ece2
EFMT4	Eef1akmt4
EFMT4	Eef1ece2
EFR3B	Efr3b
EG331392	Gm5124
EG381438	Gm5148
EG626854	Gm38396
EG666609	Gm8186
EGFL5	Megf9
EGFL7	Egfl7
EGLN2	Egln2
EGR1	Egr1
EGR2 (Krox20)	Egr2
EGR3	Egr3
EGR4	Egr4
EIF1AX	Eif1ax
EIF1B	Eif1b
EIF2A	Eif2a
EIF2C3	Ago3
EIF2C4 (Argonaute-4)	Ago4
EIF4E3	Eif4e3
EIF5A2	Eif5a2
EKI1	Etnk1
EKLF1	Klf1
ELAC1	Elac1
ELKS	Erc1
ELL2	Ell2
ELMO1	Elmo1
ELMOD1	Elmod1
ELOVL4	Elovl4
ELOVL5	Elovl5
ELOVL6	Elovl6
ELP3	Elp3
ELP70	Eml2
ELYS	Ahctf1
EME2	Eme2
EML4	Eml4
EMP3	Emp3
ENC1	Enc1
ENDOGL1	Exog
ENH	Pdlim5
ENIGMA	Pdlim7
ENO2	Eno2
ENO3	Eno3
ENOPH1	Enoph1
ENP1	Entpd1
ENP3	Entpd3
ENPP5	Enpp5
ENSMUSG00000042857	Gm9776
ENT1	Slc29a1
ENTPD7	Entpd7
EP400	Ep400
EPAS1	Epas1
EPC2	Epc2
EPDR1	Epdr1
EPHX2	Ephx2
EPI64	Tbc1d10a
EPN2	Epn2
ERC2/CAST	Erc2
ERF	Erf
ERGIC2	Ergic2
ERK4	Mapk4
ERMN	Ermn
ERP5	Pdia6
ERdj5	Dnajc10
ERp44	Erp44
ESE3	Ehf
ESM-1	Esm1
ETFA	Etfa
ETO	Runx1t1
ETR3	Celf2
ETV3	Etv3
ETV6(TEL1)	Etv6
EVI2A	Evi2a
EVL	Evl
EWI2	Igsf8
EWS	Ewsr1
EXTL1	Extl1
EXTL3	Extl3
EZH1	Ezh1
Ebp1	Pa2g4
EfaPK	Pomk
Efs/Sin	Efs
Eftud1	Efl1
Eif2s3y	Eif2s3y
Elfn2	Elfn2
Elk-1	Elk1
Elk-4	Elk4
Emerin	Emd
Emi1	Fbxo5
En2	En2
Endophilin A2	Sh3gl1
Endophilin B1	Sh3glb1
Endophilin B2	Sh3glb2
Ep-CAM	Epcam
Ephexin	Ngef
Ephrin-A receptor 1	Epha1
Ephrin-A receptor 2	Epha2
Ephrin-A receptor 4	Epha4
Ephrin-A receptor 7	Epha7
Ephrin-A1	Efna1
Ephrin-B receptor 1	Ephb1
Ephrin-B1	Efnb1
Ephrin-B2	Efnb2
Ephrin-B2 (CTF2)	Efnb2
Ephrin-B3	Efnb3
Epimorphin	Stx2
Epo receptor	Epor
Epsilon-sarcoglycan	Sgce
Epsin 1	Epn1
ErbB4	Erbb4
ErbB4(CTF)	Erbb4
ErbB4(ICD)	Erbb4
Esrra	Esrra
Esrrg	Esrrg
Exo84	Exoc8
Exostosin-like 2	Extl2
F263	Pfkfb3
F264	Pfkfb4
FA2H	Fa2h
FAAH	Faah
FABD	Mcat
FADD	Fadd
FADS1	Fads1
FADS6	Fads6
FAIM	Faim
FAIM2	Faim2
FAK1	Ptk2
FALZ	Bptf
FAM108A1	Abhd17a
FAM108B1	Abhd17b
FAM110B	Fam110b
FAM113B	Pced1b
FAM116B	Dennd6b
FAM117A	Fam117a
FAM123A	Amer2
FAM125B	Mvb12b
FAM130A2	Csrnp3
FAM131A	Fam131a
FAM135A	Fam135a
FAM13B1	Fam13b
FAM13C1	Fam13c
FAM149A	Fam149a
FAM14A	Ifi27l2b
FAM167A	Fam167a
FAM168B	Fam168b
FAM169A	Fam169a
FAM171A1	Fam171a1
FAM171A2	Fam171a2
FAM174B	Fam174b
FAM176B	Eva1b
FAM193A	Fam193a
FAM199X	Fam199x
FAM32A	Fam32a
FAM3A	Fam3a
FAM40A	Strip1
FAM40B	Strip2
FAM43A	Fam43a
FAM44B	Bod1
FAM55B	Nxpe2
FAM55C	Nxpe3
FAM55D	Nxpe4
FAM5B	Brinp2
FAM70A	Tmem255a
FAM76B	Fam76b
FAM81A	Fam81a
FAM90A1	Fam90a1b
FAM98A	Fam98a
FAM98B	Fam98b
FANCA	Fanca
FANCB	Fancb
FANCC	Fancc
FANCE	Fance
FANCF	Fancf
FANCG	Fancg
FAP48	Glmn
FAR2	Far2
FARSB	Farsb
FASTKD1	Fastkd1
FAT3	Fat3
FATP1	Slc27a1
FBF1	Fbf1
FBP30	Fnbp4
FBX22	Fbxo22
FBX29	Fbxw8
FBX33	Fbxo33
FBXL12	Fbxl12
FBXL16	Fbxl16
FBXL17	Fbxl17
FBXL3	Fbxl3
FBXL4	Fbxl4
FBXO10	Fbxo10
FBXO11	Fbxo11
FBXO17	Fbxo17
FBXO21	Fbxo21
FBXO24	Fbxo24
FBXO30	Fbxo30
FBXO36	Fbxo36
FBXO41	Fbxo41
FBXO44	Fbxo44
FBXO7	Fbxo7
FBXW11	Fbxw11
FBXW2	Fbxw2
FBXW5	Fbxw5
FBXW7	Fbxw7
FCHO2	Fcho2
FCoR	Fcor
FDFT1	Fdft1
FDX1	Fdx1
FEM1A	Fem1a
FEN1	Fen1
FGD1	Fgd1
FGF11	Fgf11
FGF12	Fgf12
FGF3	Fgf3
FGFR1OP2	Fgfr1op2
FGFR2	Fgfr2
FGFRL1	Fgfrl1
FGL2	Fgl2
FHIT	Fhit
FIBIN	Fibin
FILIP	Filip1
FIP1L1	Fip1l1
FIP200	Rb1cc1
FKBP11	Fkbp11
FKBP15	Fkbp15
FKBP1B	Fkbp1b
FKBP2	Fkbp2
FKBP7	Fkbp7
FKHR	Foxo1
FKRP	Fkrp
FKSG14	Cenpk
FLII	Flii
FLJ10094	Enox1
FLJ10350	Map7d1
FLJ10707	Setd5
FLJ10986	Fggy
FLJ11021	Rsrc2
FLJ11151	Cpped1
FLJ12671	Isg20l2
FLJ13149	Fastkd5
FLJ14803	Tmem209
FLJ20125	Gin1
FLJ20259	Qrich1
FLJ20291	Cwc25
FLJ20422	Tmem161a
FLJ20534	Hpf1
FLJ20558	C87436
FLJ20625	Lamtor1
FLJ20718	Heatr3
FLJ21511	Cwh43
FLJ21742	1700030K09Rik
FLJ21820	Ldah
FLJ22184	Prr36
FLJ22318	Rmnd5b
FLJ22349	Ccdc134
FLJ30707	Fam124a
FLJ31818	Bmt2
FLJ35773	Mfsd6l
FLJ36031	Ccdc71l
FLJ36070	Mamstr
FLJ38984	5730409E04Rik
FLJ45032	Tmppe
FLJ45455	Shisa6
FLRE	Blvrb
FLRT1	Flrt1
FLYWCH1	Flywch1
FMNL1	Fmnl1
FN14(TNFRSF12A)	Tnfrsf12a
FNBP1	Fnbp1
FNBP1L	Fnbp1l
FNDC3B	Fndc3b
FNDC4	Fndc4
FNDC5	Fndc5
FNDC8	Fndc8
FOXJ3	Foxj3
FOXK1	Foxk1
FOXN3	Foxn3
FOXO3A	Foxo3
FOXO4	Foxo4
FOXP1	Foxp1
FOXRED2	Foxred2
FPGT	Fpgt
FPRL1	Fpr2
FRAT2	Frat2
FRMD3	Frmd3
FRMD4B	Frmd4b
FRMD5	Frmd5
FRMD8	Frmd8
FRS2	Frs2
FRY	Fry
FSRP	Fstl3
FSTL1	Fstl1
FTHC	Mthfs
FTO	Fto
FTS	Aktip
FTase-alpha	Fnta
FUCO	Fuca1
FUNDC1	Fundc1
FUS	Fus
FUSIP1	Srsf10
FUT8	Fut8
FXYD2	Fxyd2
FXYD6	Fxyd6
FXYD7	Fxyd7
FYCO1	Fyco1
FZD9	Fzd9
Fam78b	Fam78b
Fank1	Fank1
Fbm1	Gpatch8
Ferroportin 1	Slc40a1
Fhl4	Fhl4
Fibcd1	Fibcd1
Fibrillarin	Fbl
Fibrillin 1	Fbn1
Fibrinogen beta	Fgb
Fibulin-5	Fbln5
Fidgetin	Fign
Filamin B (TABP)	Flnb
Fjx1	Fjx1
Flotillin-2	Flot2
Flywch2	Flywch2
Fndc3a	Fndc3a
Follistatin	Fst
Formin 2	Fmn2
FosB	Fosb
Fra-1	Fosl1
Fra-2	Fosl2
Frataxin	Fxn
Frem2	Frem2
Furin	Furin
G-protein alpha-11	Gna11
G-protein alpha-12	Gna12
G-protein alpha-i1	Gnai1
G-protein alpha-i2	Gnai2
G-protein alpha-i3	Gnai3
G-protein alpha-o	Gnao1
G-protein alpha-q	Gnaq
G-protein alpha-z	Gnaz
G-protein beta-1	Gnb1
G-protein gamma 10	Gng10
G-protein gamma 11	Gng11
G-protein gamma 12	Gng12
G-protein gamma 4	Gng4
G20	6430571L13Rik
G3P2	Gapdh
G6PC3	G6pc3
G6PD2	G6pd2
G6PE	H6pd
G9a	Ehmt2
GA17	Eif3m
GAA	Gaa
GAB2	Gab2
GABA-A receptor alpha-1 subunit	Gabra1
GABA-A receptor alpha-2 subunit	Gabra2
GABA-A receptor alpha-5 subunit	Gabra5
GABA-A receptor alpha-6 subunit	Gabra6
GABA-A receptor beta-2 subunit	Gabrb2
GABA-A receptor beta-3 subunit	Gabrb3
GABA-A receptor delta subunit	Gabrd
GABA-A receptor gamma-3 subunit	Gabrg3
GABARAP	Gabarap
GABARAPL1	Gabarapl1
GABP alpha	Gabpa
GABPB2	Gabpb2
GAD1	Gad1
GAD2	Gad2
GADD45 alpha	Gadd45a
GADD45 beta	Gadd45b
GADD45 gamma	Gadd45g
GALGT	B4galnt1
GALNT1	Galnt1
GALNT11	Galnt11
GALNTL1	Galnt16
GALNTL2	Galnt15
GALR2	Galr2
GANC	Ganc
GANP	Mcm3ap
GAPCENA	Rabgap1
GAR17	Gas2l2
GARNL4	Rap1gap2
GART	Gart
GAS2	Gas2
GAS7	Gas7
GASC1	Kdm4c
GAT1	Slc6a1
GATE-16	Gabarapl2
GATM	Gatm
GBR1	Gabbr1
GBX1	Gbx1
GCC1	Gcc1
GCC2	Gcc2
GCFC2	Gcfc2
GCKR(MAP4K5)	Map4k5
GCL cat	Gclc
GCN5	Kat2a
GCNT2	Gcnt2
GCP16	Golga7
GCR	Nr3c1
GCSH	Gcsh
GDAP1L1	Gdap1l1
GDAP2	Gdap2
GDE1	Gde1
GEFT	Arhgef25
GEM	Gem
GFM2	Gfm2
GFOD1	Gfod1
GFPT2	Gfpt2
GFRP	Gchfr
GGA3	Gga3
GGNBP1	Ggnbp1
GGTA1	Sbk1
GGTF-II-alpha	Rabggta
GGTF-II-beta	Rabggtb
GIGYF1	Gigyf1
GIMAP6	Gimap6
GINS2	Gins2
GIT1	Git1
GLAST1/EAAT1	Slc1a3
GLG1	Glg1
GLGB	Gbe1
GLI-2	Gli2
GLI-3	Gli3
GLI-3R	Gli3
GLOD4	Glod4
GLP-1 (7-36) amide	Gcg
GLP-1 (7-37)	Gcg
GLP-2	Gcg
GLPK	Gk
GLRX2	Glrx2
GLRX5	Glrx5
GLSK	Gls
GLSL	Gls2
GLT8D4	Gxylt2
GLTPD1	Cptp
GLUT1	Slc2a1
GM2A	Gm2a
GM3 synthase	St3gal5
GMP2	Gmpr2
GMPPB	Gmppb
GMPS	Gmps
GNA1	Gnpnat1
GNIP (TRIM7)	Trim7
GNL1	Gnl1
GNL2	Gnl2
GNL3L	Gnl3l
GNPAT	Gnpat
GNPDA2	Gnpda2
GNPI	Gnpda1
GNT-III	Mgat3
GNT-V	Mgat5
GOLGB1	Golgb1
GOLPH2	Golm1
GOLPH3	Golph3
GOLPH3L	Golph3l
GON4L	Gon4l
GOS-28	Gosr1
GP-1	Gtpbp1
GP-IB beta	Gp1bb
GPAM	Gpam
GPATC2	Gpatch2
GPATCH4	Gpatch4
GPI	Gpi1
GPM6A	Gpm6a
GPR133	Adgrd1
GPR137B	Gpr137b
GPR137C	Gpr137c
GPR153	Gpr153
GPR158	Gpr158
GPR161	Gpr161
GPR172B	Slc52a2
GPR173	Gpr173
GPR178	Tmem181a
GPR180	Gpr180
GPR19	Gpr19
GPR22	Gpr22
GPR25	Gpr25
GPR3	Gpr3
GPR30	Gper1
GPR37	Gpr37
GPR39	Gpr39
GPR56	Adgrg1
GPR62	Gpr62
GPR64	Adgrg2
GPR75	Gpr75
GPR85	Gpr85
GPR88	Gpr88
GPRASP2	Gprasp2
GPRC5B	Gprc5b
GPRIN3	Gprin3
GPS2	Gps2
GPSM1	Gpsm1
GPT	Dpagt1
GPT2	Gpt2
GPX6	Gpx6
GRB2	Grb2
GREM2	Grem2
GRID1	Grid1
GRID2	Grid2
GRP75	Hspa9
GRP78	Hspa5
GRPE2	Grpel2
GRPP	Gcg
GSG1L	Gsg1l
GSHR	Gsr
GSK3 beta	Gsk3b
GSPT1	Gspt1
GSTCD	Gstcd
GSTM3	Gstm5
GSTM5	Gstm6
GSTO1	Gsto1
GSTO2	Gsto2
GSTP1	Gstp1
GSTT2	Gstt2
GTF3C6	Gtf3c6
GTPBP2	Gtpbp2
GTPBP6	Gtpbp6
GUAC	Gmpr
GUF1	Guf1
GZF1	Gzf1
GZMH	Gzmf
Gadl1	Gadl1
Galectin-1	Lgals1
Galectin-4	Lgals4
Galectin-8	Lgals8
Gamma adducin	Add3
Gas6	Gas6
Gastrotropin	Fabp6
Gelsolin	Gsn
Gemin8	Gemin8
Gephyrin	Gphn
Girdin	Ccdc88a
Glicentin	Gcg
Glis2	Glis2
GluR1	Gria1
GluR2	Gria2
GluR3	Gria3
GluR4	Gria4
GluR7	Grik3
Glucagon	Gcg
Glutaminyl-peptide cyclotransferase	Qpct
Glyoxalase I	Glo1
Glyoxalase II	Hagh
Gm10501	Gm10501
Gm10710	Gm10710
Gm10883	Igkv8-30
Gm4787	Gm4787
Gm4876	Gm4876
Gm5141	Gm5141
Gm784	Fndc3c1
Gm9725	Gm9725
Golgin-245 (p230)	Golga4
Golgin-84	Golga5
Golgin-95	Golga2
Golgin-97	Golga1
Gpr123	Adgra1
Gpr83	Gpr83
Gprin1	Gprin1
Gsta4	Gsta4
Guanine deaminase	Gda
Guanylate cyclase 2G	Gucy2g
H-FABP	Fabp3
HADHB	Hadhb
HAGHL	Haghl
HAP40	F8a
HARI	Arih1
HAUS5	Haus5
HAUS6	Haus6
HAX1	Hax1
HB-EGF	Hbegf
HBB2 (mouse)	Hbb-b2
HBG1	Hbb-bh1
HBP1	Hbp1
HBS1L	Hbs1l
HBXAP	Rsf1
HBXIP	Lamtor5
HCCR-2	Letmd1
HCCS	Hccs
HCD2	Hsd17b10
HCDH	Hadh
HCFC1R1	Hcfc1r1
HCLP-1	Klhdc2
HDAC11	Hdac11
HDAC2	Hdac2
HDAC5	Hdac5
HDDC3	Hddc3
HDGF	Hdgf
HEATR4	Heatr4
HECA	Heca
HECTD1	Hectd1
HECTD2	Hectd2
HEM4	Uros
HEMK2	N6amt1
HEPACAM	Hepacam
HEPHL1	Hephl1
HERC1	Herc1
HERC4	Herc4
HERP	Herpud1
HERPUD2	Herpud2
HEXA	Hexa
HEXB	Hexb
HEXIM2	Hexim2
HEY1	Hey1
HGK(MAP4K4)	Map4k4
HGTD-P	Fam162a
HHIPL1	Hhipl1
HIAT1	Mfsd14a
HIATL1	Mfsd14b
HIC1	Hic1
HIC5	Tgfb1i1
HIG1	Higd1a
HINT2	Hint2
HIP12	Hip1r
HIPK1	Hipk1
HIPK2	Hipk2
HIST1H2BL	H2bc21
HMBOX1	Hmbox1
HMBS	Hmbs
HMDH	Hmgcr
HMG20A	Hmg20a
HMGE	Grpel1
HMP19	Nsg2
HOJ-1	Rassf8
HOXA2	Hoxa2
HP1-BP74 protein	Hp1bp3
HPCA	Hpca
HPCAL4	Hpcal4
HPD	Hpd
HPK1(MAP4K1)	Map4k1
HPK38	Melk
HPS3	Hps3
HRC	Hrc
HRK	Hrk
HS6ST1	Hs6st1
HS6ST2	Hs6st2
HSCO	Ethe1
HSD11B1	Hsd11b1
HSDL1	Hsdl1
HSF2	Hsf2
HSF2BP	Hsf2bp
HSF4	Hsf4
HSP10 (mitochondrial)	Hspe1
HSP12A	Hspa12a
HSP40	Dnajb1
HSP60	Hspd1
HSP70L1	Hspa14
HSP90 beta	Hsp90ab1
HSPA12B	Hspa12b
HSPA1A	Hspa1a
HSPA1B	Hspa1b
HSPA1L	Hspa1l
HSPA4	Hspa4
HSPC117	Rtcb
HSPC125	Ndufaf4
HSPC152	Trmt112
HSPC171	Tmem208
HSPC176	Trappc2l
HSST1	Ndst1
HSST2	Ndst2
HTR1B	Htr1b
HTR1D	Htr1d
HTR1F	Htr1f
HTR2C (HTR1C)	Htr2c
HTR3B	Htr3b
HTR5A	Htr5a
HUNK	Hunk
HUS1	Hus1
HYEP	Ephx1
HYPB	Setd2
Hamartin	Tsc1
Hap-1	Hap1
Hdj-2	Dnaja1
Heme oxygenase 2	Hmox2
Hemopexin	Hpx
Hice-1	Haus8
Histamine H1 receptor	Hrh1
Histone H1.0	H1f0
Homer 1	Homer1
Huntingtin	Htt
IAH1	Iah1
IBP4	Igfbp4
IBP5	Igfbp5
IBRDC3	Rnf19b
IBTK	Ibtk
ICA1L	Ica1l
ICA69	Ica1
ICAD	Dffa
ICAM5	Icam5
ICAP-1	Itgb1bp1
ICF45	Thg1l
ICRF	Reg1
ID1	Id1
ID2	Id2
ID3	Id3
ID4	Id4
IDH1	Idh1
IDH3A	Idh3a
IDH3G	Idh3g
IDI1	Idi1
IDO1	Ido1
IER5	Ier5
IEX1	Ier3
IFG15	Tor1aip2
IFI27	Ifi27
IFNA1	Ifna1
IFNGR2	Ifngr2
IFRD1	Ifrd1
IFRD2	Ifrd2
IFT122	Ift122
IFT140	Ift140
IFT20	Ift20
IFT74	Ift74
IGF-1 receptor	Igf1r
IGF-1 receptor alpha	Igf1r
IGF-2 receptor	Igf2r
IGF1 receptor beta	Igf1r
IGF2BP3	Igf2bp3
IGSF1	Igsf1
IGSF21	Igsf21
IHPK1	Ip6k1
IKK-alpha	Chuk
IKK-epsilon	Ikbke
IKK-gamma	Ikbkg
IKZF4	Ikzf4
IL-1 alpha	Il1a
IL-17 receptor	Il17ra
IL-21	Il21
IL-2R gamma chain	Il2rg
IL-34	Il34
IL10RA	Il10ra
IL10RB	Il10rb
IL13RA1	Il13ra1
IL18RAP	Il18rap
IL1RAPL2	Il1rapl2
IL20RA	Il20ra
IL28RA	Ifnlr1
ILVBL	Ilvbl
IMD1	Impdh1
IMP2	Igf2bp2
IMP3	Imp3
INAFM1	Inafm1
INF2	Inf2
ING1	Ing1
ING2	Ing2
ING3	Ing3
ING5	Ing5
INO80	Ino80
INO80C	Ino80c
INPP4A	Inpp4a
INPP5	Inpp5j
INSIG2	Insig2
INSL6	Insl6
INSM2	Insm2
INSR alpha	Insr
INSR beta	Insr
INTS2	Ints2
INTS4	Ints4
INTS7	Ints7
IP3KA	Itpka
IP3KB	Itpkb
IP3R1	Itpr1
IP3R2	Itpr2
IPMK	Ipmk
IPO11	Ipo11
IPO4	Ipo4
IPP	Ipp
IPPK	Ippk
IQCC	Iqcc
IQGAP2	Iqgap2
IQGAP3	Iqgap3
IQSEC1	Iqsec1
IQSEC2	Iqsec2
IRAK1BP1	Irak1bp1
IRAKM	Irak3
IRAP	Lnpep
IRAS	Nisch
IRF2BP1	Irf2bp1
IRF2BP2	Irf2bp2
IRF6	Irf6
IRF8	Irf8
IRP1	Aco1
IRS-1	Irs1
IRS-2	Irs2
ISG20L1	Aen
ISLR2	Islr2
ISM1	Ism1
ISOC1	Isoc1
IST1	Ist1
ISY1	Isy1
ITF2	Tcf4
ITGA7	Itga7
ITGA9	Itga9
ITGAX	Itgax
ITGB8	Itgb8
ITGBL1	Itgbl1
ITM2C	Itm2c
IWS1	Iws1
Ifi202a	Ifi202b
Ifi27l2a	Ifi27l2a
