Interactions Report,,,,,,,,,
,From,,To,,,,,,
1381,NF-kB1 (p50),Transcription factor,SNAPalpha,Transporter,Inhibition,Transcription regulation,x,NAPA was identificated as p50 target gene by using genome-scale location analysis  wich couples ChIP with microarrays both without and after stimulation with bacterial lipopolysaccharide.,16595631;21945668
1382,MUC1-CT,Generic binding protein,TSA-1,Generic binding protein,Activation,Transcription regulation,x,MUC1-CT co-activates transcription of TSA-1.,35022313
1383,Androgen receptor,Transcription factor,ID1,Transcription factor,Activation,Transcription regulation,x,Directed ChIP for the AR binding sites near the M-phase cell-cycle regulatory gene ID1 confirmed that these sites are preferentially occupied in  LNCaP in the presence of DHT.,19201527;19632176;22819717;27659047
1384,RARalpha,Transcription factor,RAIG1,GPCR,Activation,Transcription regulation,x,RARalpha can bind to gene RAIG1 promoter.,17239240;19279407
1385,hASH1,Transcription factor,ACK1,Protein kinase,Activation,Transcription regulation,x,hASH1 activates transcription of ACK1.,21536733;34466783
1386,ActRIIA,Receptor with enzyme activity,SMAD2,Transcription factor,Activation,Binding,x,ActRIIA binds to and activates SMAD2.,37378449
1387,FBX22,Generic enzyme,BACH1,Transcription factor,Inhibition,Binding,x,FBX22 binds to and inhibits BACH1.,28514442;29459360;31257023;33961781;38673728
1388,Ski,Generic binding protein,SMAD7,Transcription factor,Inhibition,Transcription regulation,x,Ski binds to gene SMAD7 promoter and suppresses SMAD7 expression.,15128733;16442497;19032343;29471413
1389,Ephrin-B3,Receptor ligand,Ephrin-B receptor 1,Receptor with enzyme activity,Activation,Binding,x,Ephrin-B3 binds to and activates Ephrin-B receptor 1 .,10661574;15561600
1390,PTPR-epsilon,Generic receptor,GRB2,Generic binding protein,Activation,Binding,x,PTPR-epsilon binds to and activates GRB2.,10490839;25381250
1391,GLUT1,Transporter,G3P2,Generic enzyme,Inhibition,Binding,x,GLUT1 binds to and inhibits G3P2.,2394733
1392,RRAD,RAS - superfamily,C/EBPdelta,Transcription factor,Inhibition,Binding,x,Rad inhibited the binding of C/EBP-d to the CTGF promoter via direct interaction with C/EBP-d.,21382976
1393,AML1 (RUNX1),Transcription factor,beta-TrCP,Generic binding protein,Activation,Transcription regulation,x,AML1 (RUNX1) activates transcription of beta-TrCP.,17652178;30185409;30500954;33476325
1394,XBP1,Transcription factor,PCNA,Generic binding protein,Activation,Transcription regulation,x,XBP1 activates transcription of PCNA.,30679434;34964131;38879588
1395,TCF8,Transcription factor,ABCC1,Transporter,Inhibition,Transcription regulation,x,TCF8 inhibits transcription of ABCC1.,24013721;29706544;37356459
1396,C/EBPdelta,Transcription factor,DLK,Generic binding protein,Activation,Transcription regulation,x,22324440.,22324440
1397,p53,Transcription factor,PCDHB14,Generic binding protein,Activation,Transcription regulation,x,p53 activates transcription of PCDHB14.,35688944
1398,XBP1,Transcription factor,DGAT2,Generic enzyme,Activation,Transcription regulation,x,XBP1 binds to gene DGAT2 promoter and promotes DGAT2 expression.,18556558;23257357;28039331;30482806;35863429;38637497
1399,SORL1,Generic receptor,APP,Generic receptor,Activation,Binding,x,SORLA1 interacts both with APP. SORLA1 acts as a trafficking receptor that prevents BACE-APP interactions and hence BACE cleavage of APP.,16174740;17855360;18695942;19372755;23283322;25404298;25525276;32601248;37611586
1400,A1U,Generic enzyme,Connexin 43,Generic channel,Inhibition,Binding,x,CIP75 interacts with endoplasmic reticulum (ER)-localized Cx43,18079109;20127391;20940304;24256120;26320187
1401,NF-AT5,Transcription factor,c-Jun,Transcription factor,Activation,Binding,x,HEK293 cell line was used to indicate c-Fos and c-Jun physical association with both the n-terminus and the c-terminus of TonEBP/OREBP. siRNA knockdown of either c- Fos or c-Jun inhibits high NaCl-induced increase of mRNA abundance of the TonEBP/OREBP target genes.,18056707
1402,JunD,Transcription factor,NT/NN,Receptor ligand,Activation,Transcription regulation,x,"Endogenous CREB1, CREB2, ATF1, ATF2, JunD and c-Jun bind to gene NTS promoter.",7791794;21030593
1403,KLF4,Transcription factor,SMAD7,Transcription factor,Activation,Transcription regulation,x,KLF4 binds to SMAD7 promoter.,18358816;19736564;25375357;28192402;30786277;32467224;32937756
1404,STAT5B,Transcription factor,CISH,Generic binding protein,Activation,Transcription regulation,x,It was shown binding of STAT5b to Predicted Sites in Promoter of  CISH Gene.,9742102;11517160;16125365;17008382;20702579;21453523;24550509;25448846;29200404;30107177
1405,EGR2 (Krox20),Transcription factor,HMDH,Generic enzyme,Activation,Transcription regulation,x,EGR2 (Krox20) binds to gene HMDH promoter and activates HMDH expression.,15836632;21044070;22492709
1406,DP2,Transcription factor,C/EBPalpha,Transcription factor,Inhibition,Binding,x,Dp2 binds to c/ebp alpha and inhibits its activity.,20176812
1407,DEK,Generic binding protein,p53 (mitochondrial),Transcription factor,Inhibition,Transcription regulation,x,DEK co-inhibits transcription of p53 (mitochondrial).,35351996
1408,MED1,Transcription factor,Amphiregulin,Receptor ligand,Activation,Transcription regulation,x,MED1 co-activates transcription of Amphiregulin.,29187405
1409,TRAF3,Generic binding protein,EWS,Generic binding protein,Inhibition,Binding,x,TRAF3 binds to and inhibits EWS.,31969387;37097293
1410,LHX6,Transcription factor,FOXP1,Transcription factor,Inhibition,Transcription regulation,x,LHX6 inhibits transcription of FOXP1.,26071365
1411,C1orf86,Generic binding protein,FANCC,Generic binding protein,Activation,Binding,x,"Flag-tagged FAAP20 coimmunoprecipitated with FANCA, FANCE and FANCC, indicating that FAAP20 associates with the Fanconi anemia core complex. FAAP20 has a crucial role in stabilizing the Fanconi anemia core complex.",22266823;22343915
1412,14-3-3 epsilon,Generic binding protein,RGS16,"Regulators (GDI, GAP, GEF)",Inhibition,Binding,x,14-3-3 epsilon physically interacts with  RGS16 and decreases its activity.,16839744
1413,KLF12,Transcription factor,EGR1,Transcription factor,Activation,Transcription regulation,x,AP-2rep binding site is computationally predicted in EGR1 promoter.,18837990;27442508
1414,SOX2,Transcription factor,SIAT1,Generic enzyme,Activation,Transcription regulation,x,SOX2 regulates transcription of SIAT1.,19884255;24909994;33915080
1415,NCOA2 (GRIP1/TIF2),Generic binding protein,XBP1,Transcription factor,Activation,Transcription regulation,x,"ESR1, NCOA1-3, p300 and CBP bind to XBP1 promoter.",22002538
1416,RBP-J kappa (CBF1),Transcription factor,METTL14,Generic enzyme,Activation,Transcription regulation,x,RBP-J kappa (CBF1) activates transcription of METTL14.,39002703
1417,Rb protein,Generic binding protein,PCNA,Generic binding protein,Inhibition,Transcription regulation,x,"When cells undergo senescence, Rb binds to the CSIG/PCNA/CCNA2 promoters. Both the TAAC element and the E2F1 binding site are required for this association. Subsequently, heterochromatin forms at the CSIG/PCNA/CCNA2 promoters and irreversibly represses CSIG/PCNA/CCNA2 transcription.",16537896;18277385;22955272;23859194;29311118;35981542;37527040
1418,TCF7L2 (TCF4),Transcription factor,AHNAK,Generic binding protein,Activation,Transcription regulation,x,TCF7L2 (TCF4) activates transcription of AHNAK.,21152096
1419,Par-4,Generic binding protein,NF-kB1 (p50),Transcription factor,Inhibition,Binding,x,"Par-4 interacts with NFkappaB p50 in the cytosol, and the resulting partnerships presumably restricting NFkappaB translocation and subsequent target gene regulation in the nucleus.",20433755
1420,GCR,Transcription factor,SFRS7 (9G8),Generic binding protein,Activation,Transcription regulation,x,A total of 28 cortisol-modulated proteins were identified in the human THP-1 monocytic cell line. Their corresponding genes were screened for putative glucocorticoid response elements in their + 10 kb/- 0.2 kb promoter regions including all alternative promoters available within the Database for Transcription Start Sites.,17960574;30659202;32619221;33524141
1421,CTCF,Transcription factor,PSMD1,Generic binding protein,Activation,Transcription regulation,x,CTCF activates transcription of PSMD1.,18555785;21884934;29429976;32807777
1422,CoREST,Generic binding protein,NXF,Transcription factor,Inhibition,Transcription regulation,x,CoREST co-regulates transcription of NXF.,19888342;25250711
1423,eIF2C2 (Argonaute-2),Generic enzyme,p53,Transcription factor,Inhibition,Binding,x,EIF2C2 binds to p53.,20308539;26312837;26400160;28973454;30209170;30674552;35227836
1424,GPS2,"Regulators (GDI, GAP, GEF)",ABCG1,Generic channel,Activation,Transcription regulation,x,"At the ABCG1 promoter, ligand triggers recruitment of LXR, GPS2, and a coactivator complex (CBP, SRCs, Pol II), while at the ABCA1 promoter, ligand triggers exchange of a GPS corepressor complex (containing NCoR, HDAC3, TBLR1) to the coactivator complex devoid of GPS2.",19481530;30153049
1425,CDK7,Protein kinase,GLUT1,Transporter,Activation,Transcription regulation,x,CDK7 co-activates transcription of GLUT1.,31784510
1426,RUNX3,Transcription factor,FOXO3A,Transcription factor,Activation,Binding,x,The physical interaction of RUNX3 and FOXO3 on the promoter of the proapoptotic factor Bim activates transcription of Bim.,16373335;16627973;18391970;18391973;20348954
1427,PPAR-beta(delta),Transcription factor,PDK2,Protein kinase,Activation,Transcription regulation,x,PPAR-beta(delta) binds to gene PDK2 promoter and activates PDK2 expression.,17669420
1428,FKHR,Transcription factor,GLGB,Generic enzyme,Activation,Transcription regulation,x,FKHR activates transcription of GLGB.,23135404;36282572
1429,SMAD4,Transcription factor,SOX1,Transcription factor,Inhibition,Transcription regulation,x,SMAD4 inhibits transcription of SOX1.,28713933;38421638
1430,hASH1,Transcription factor,RAB3IP,"Regulators (GDI, GAP, GEF)",Activation,Transcription regulation,x,hASH1 activates transcription of RAB3IP.,34466783;38060444
1431,CENTG2,Generic binding protein,AP3S2,Transporter,Inhibition,Binding,x,AGAP1 has previously been found to associate with the adaptor protein complex AP-3 and regulate the function of AP-3 endosomes.,12967569;16079295
1432,BRG1,Generic enzyme,Myelin basic protein,Generic binding protein,Activation,Transcription regulation,x,BRG1 co-activates transcription of Myelin basic protein.,23874858;29664021
1433,PSMB1,Generic protease,ICRF,Generic binding protein,Activation,Transcription regulation,x,PSMB1 co-activates transcription of ICRF.,23544109
1434,RelA (p65 NF-kB subunit),Transcription factor,ANKRD33B,Generic binding protein,Activation,Transcription regulation,x,RelA (p65 NF-kB subunit) activates transcription of ANKRD33B.,28579529
1435,GCR,Transcription factor,EGFL5,Generic binding protein,Activation,Transcription regulation,x,GCR activates transcription of EGFL5.,19966186;32619221
1436,E3b1(ABI-1),Generic binding protein,N-WASP,Generic binding protein,Activation,Binding,x,E3b1(ABI-1) physically interacts with N-WASP and increases its activity.,16155590;23740246;34369620
1437,"TFIIF, alpha subunit",Transcription factor,ARPC2,Generic binding protein,Activation,Binding,x,"TFIIF, alpha subunit binds to and activates ARPC2.",35039641
1438,USP7,Generic protease,USP11,Generic protease,Activation,Binding,x,USP7 binds to and activates USP11.,19615732;20601937;22411829;29293652;30367141;30894746;36302555
1439,Bcl-9,Generic binding protein,Clathrin heavy chain,Generic binding protein,Inhibition,Binding,x,Bcl-9 binds to and inhibits Clathrin heavy chain.,30217955
1440,SMAD4,Transcription factor,NP220,Transcription factor,Activation,Transcription regulation,x,SMAD4 activates expression of NP220 promoter after TGF-beta  treatment,19615063
1441,TCF7L2 (TCF4),Transcription factor,ID2,Transcription factor,Activation,Transcription regulation,x,TCF7L2 (TCF4) promotes transcription of ID2.,11572874;18268006;26955760;27693749;31888886;33452226
1442,PPP2R2A,Protein phosphatase,TET2,Protein,Inhibition,Binding,x,PPP2R2A binds to and inhibits TET2.,31901078
1443,c-Jun,Transcription factor,TGF-beta 3,Receptor ligand,Activation,Transcription regulation,x,C-Jun binds to gene TGF-beta 3 promoter and activates TGF-beta 3 expression.,16891311
1444,BRG1,Generic enzyme,p53 (mitochondrial),Transcription factor,Activation,Transcription regulation,x,BRG1 co-activates transcription of p53 (mitochondrial).,23933260;27185875;33770102
1445,MSK1,Protein kinase,EGR1,Transcription factor,Activation,Transcription regulation,x,we observed a 3 to 4-fold increase in ERK and MSK occupancy at the egr-1 promoter following stimulation.,18334532
1446,SUMO-3,Generic binding protein,SOX6,Transcription factor,Inhibition,Binding,x,SUMO-3 physically interacts with  SOX6 and decreases its activity.,16442531;22082260
1447,STAT1,Transcription factor,BAF47,Generic binding protein,Activation,Transcription regulation,x,"ChIP experiments revealed that following addition of IGFBP7 to SK-MEL-28 cells, STAT1 was recruited to the BAF47 (SMARCB1) promoter, and shRNA-mediated knockdown experiments confirmed that STAT1 was required for IGFBP7-mediated upregulation of SMARCB1.",16319195;18267069
1448,BRG1,Generic enzyme,Amphiregulin,Receptor ligand,Inhibition,Transcription regulation,x,BRG1 co-inhibits transcription of Amphiregulin.,24166496
1449,GCR,Transcription factor,HTR1B,GPCR,Activation,Transcription regulation,x,GCR activates transcription of HTR1B.,25361084;32619221
1450,SOX10,Transcription factor,TGF-beta 2,Receptor ligand,Activation,Transcription regulation,x,SOX10 activates transcription of TGF-beta 2.,22772081;31828317;35137157
1451,MAZ,Transcription factor,PPAR-gamma,Transcription factor,Activation,Transcription regulation,x,MAZ can bind to gene PPAR-gamma promoter and activates PPAR-gamma expression.,17902047;19061500
1452,HDAC11,Generic enzyme,PLP1,Generic binding protein,Activation,Transcription regulation,x,HDAC11 binds to and activates MBP and PLP promoters.,18627006
1453,SOX2,Transcription factor,Bcl-XL,Generic binding protein,Activation,Transcription regulation,x,SOX2 activates transcription of Bcl-XL.,23940081
1454,p53,Transcription factor,MEL1,Transcription factor,Activation,Transcription regulation,x,p53 can bind to gene MEL1 promoter.,19641492;20018659;23412343;26578713
1455,BRG1,Generic enzyme,MMP-2,Metalloprotease,Activation,Transcription regulation,x,BRG1 coregulates and activates MMP-2 promoter.,15317818;20969766
1456,Lamin A/C,Generic binding protein,p21,Generic binding protein,Inhibition,Transcription regulation,x,Lamin A/C co-inhibits transcription of p21.,39266569
1457,RelA (p65 NF-kB subunit),Transcription factor,NELL2,Generic binding protein,Inhibition,Transcription regulation,x,RelA (p65 NF-kB subunit) inhibits transcription of NELL2.,28579529
1458,PRMT6,Generic enzyme,NCOA1 (SRC1),Generic enzyme,Activation,Binding,x,PRMT6 is able to associate with full-length SRC-1 within the context of mammalian cells. PRMT6 synergistically coactivates ER{alpha} transcriptional activity in the presence of SRC-1.,20047962
1459,Translokin,Generic binding protein,Kendrin,Generic binding protein,Activation,Binding,x,Translokin binds to and activates Kendrin.,30804344;33492359
1460,C/EBPbeta,Transcription factor,Reticulon 4,Receptor ligand,Activation,Transcription regulation,x,C/EBPbeta activates transcription of Reticulon 4.,12488097;31358770
1461,USP7,Generic protease,CBP,Generic enzyme,Activation,Binding,x,USP7 binds to and activates CBP.,27934968
1462,NFKBID,Generic binding protein,c-Rel (NF-kB subunit),Transcription factor,Activation,Binding,x,NFKBID binds to and activates c-Rel (NF-kB subunit).,23200824;28514442
1463,EGR1,Transcription factor,COX Va,Generic enzyme,Activation,Transcription regulation,x,EGR1 activates transcription of COX Va.,29170465;33980611
1464,RBP-J kappa (CBF1),Transcription factor,ZHX2,Transcription factor,Activation,Transcription regulation,x,"ZHX2 is most likely direct, endogenous targets of the N1ICD/RBPJ complex.",22232070;31249304
1465,FKHR,Transcription factor,PR (nuclear),Transcription factor,Activation,Binding,x,FKHR binds to and activates PR (nuclear) .,15987820;17556536;17609436
1466,Androgen receptor,Transcription factor,ENH,Generic binding protein,Activation,Transcription regulation,x,Androgen receptor activates transcription of ENH.,17299418;21747169;30674872;34496233
1467,ATF-4,Transcription factor,SLC3A2,Generic channel,Activation,Transcription regulation,x,ATF-4 activates transcription of SLC3A2.,18683826;29316436;30592731;33985973;34551310;39255338
1468,C/EBPbeta,Transcription factor,MAFbx,Generic enzyme,Activation,Transcription regulation,x,C/EBP beta plays a role in glucocorticoid-induced upregulation of atrogin-1 and MuRF1 in muscle cells. both rat atrogin-1 and rat MuRF1 promoters have putative C/EBP binding sites.,21381078;21847090;23046544;27122162
1469,RBP-J kappa (CBF1),Transcription factor,KLF4,Transcription factor,Inhibition,Transcription regulation,x,RBP-J kappa (CBF1) inhibits transcription of KLF4.,21637838;23293291;31249304;33915080
1470,Ephrin-B1,Receptor ligand,Ephrin-A receptor 4,Receptor with enzyme activity,Activation,Binding,x,Ephrin-B1 physically interacts with Ephrin-A receptor 4 and increases its activity.,12084815;16322784;19542359
1471,PLAG1,Transcription factor,APG12,Generic binding protein,Activation,Transcription regulation,x,PLAG1 activates transcription of APG12.,36624091
1472,GCR,Transcription factor,ZHX3,Transcription factor,Activation,Transcription regulation,x,GCR activates transcription of ZHX3.,20956975;30659202;31182584;32619221
1473,SOX2,Transcription factor,PTHrP,Receptor ligand,Activation,Transcription regulation,x,SOX2 activates transcription of PTHrP.,16153702;24909994;37353616;38951654
1474,PML,Generic binding protein,Neurofibromin,"Regulators (GDI, GAP, GEF)",Activation,Transcription regulation,x,PML co-activates transcription of Neurofibromin.,36351408
1475,PKM2,Generic kinase,IP3R2,Generic receptor,Inhibition,Binding,x,PKM2 binds to and inhibits IP3R2.,35026348
1476,CTCF,Transcription factor,C1ql2,Generic enzyme,Activation,Transcription regulation,x,CTCF activates transcription of C1ql2.,37489832
1477,GABP alpha,Transcription factor,COX VIb-1,Generic enzyme,Activation,Transcription regulation,x,GABP alpha binds to COX VIb-1 promoter.,16516409;19951946;20019798
1478,SRF,Transcription factor,KCNK1,Voltage-gated ion channel,Inhibition,Transcription regulation,x,SRF inhibits transcription of KCNK1.,23151848
1479,c-Fos,Transcription factor,LIPE,Generic phospholipase,Activation,Transcription regulation,x,c-Fos activates transcription of LIPE.,25195102
1480,SOX6,Transcription factor,Cyclin D1,Generic binding protein,Inhibition,Transcription regulation,x,SOX6 coregulates and inhibits Cyclin D1 promoter.,17412698;20858252;24040263;29855617;32794610
1481,Rb protein,Generic binding protein,Caspase-7,Generic protease,Activation,Transcription regulation,x,"TGFbeta treatment markedly induced recruitment of  E2F1, pRb, and P/CAF to the caspase7 promoter.",18632617;19249677;23059826;25961730;29891515
1482,ARPP- 21,Generic binding protein,RC3H2,Generic binding protein,Activation,Binding,x,ARPP- 21 binds to and activates RC3H2.,38467629
1483,Elk-1,Transcription factor,B-TAF,Transcription factor,Activation,Transcription regulation,x,Verification of ELK1 binding by qPCR confirmed that  B-TAF gene was bound by ELK1 in vivo.,19687146;21307122
1484,NOTCH2 (2ICD),Generic binding protein,RelA (p65 NF-kB subunit),Transcription factor,Activation,Binding,x,NOTCH2 physically interacts with RelA (p65 NF-kB subunit) and increases its activity.,18710934
1485,Tubulin beta 3,Generic binding protein,Dcc,Generic receptor,Activation,Binding,x,Tubulin beta 3 binds to and activates Dcc.,38197773
1486,CBP,Generic enzyme,MKP-1,Protein phosphatase,Activation,Transcription regulation,x,CBP co-regulates transcription of MKP-1.,14609431;20435671;23159735;25404345;31216473
1487,Stathmin 3,Generic binding protein,Chromogranin A,Generic binding protein,Activation,Binding,x,SCLIP interacts with CHGA. SCLIP and SCG10 were colocalized to the Golgi apparatus of chromaffin cells in vivo and shared localization with CHGA as it transited the Golgi.,18549247
1488,PERC,Generic binding protein,Esrra,Transcription factor,Activation,Transcription regulation,x,ERRalpha  is a direct PPARgamma/PGC1beta target gene.,14530391;20519122;23403054;31907393
1489,XBP1,Transcription factor,C/EBPalpha,Transcription factor,Activation,Transcription regulation,x,XBP1 activates transcription of C/EBPalpha.,19490910;25223794
1490,Sin3A,Generic binding protein,PPAR-gamma,Transcription factor,Inhibition,Transcription regulation,x,Sin3A co-inhibits transcription of PPAR-gamma.,27941310
1491,CALB1,Generic binding protein,MDM2,Generic enzyme,Activation,Binding,x,CALB1 binds to and activates MDM2.,31059057
1492,XBP1,Transcription factor,DnaJB9,Generic binding protein,Activation,Transcription regulation,x,XBP1 binds to DnaJB9 gene promoter and induces DnaJB9 expression.,15882996;17612490;18556558;19762508;20933500;23257357;25426559;29480818;30679434;31296559;31790507;32312819;32574624;34170527;34493732;34636989;35333353;36997866;38418544;38637497
1493,MAP1LC3A,Generic binding protein,Rad50,Generic enzyme,Inhibition,Binding,x,MAP1LC3A binds to and inhibits Rad50.,36477079
1494,SCRIB,Generic binding protein,Epo receptor,Generic receptor,Activation,Binding,x,SCRIB binds to and activates Epo receptor.,29282252
1495,C8FW (GIG2),Generic binding protein,RelA (p65 NF-kB subunit),Transcription factor,Activation,Binding,x,C8FW (GIG2)(TRB1) binds and coactivates RelA-driven  promoter activity.,20522600
1496,FOXN3,Transcription factor,ZO-1,Generic binding protein,Inhibition,Transcription regulation,x,FOXN3 inhibits transcription of ZO-1.,28805661
1497,ZF5,Transcription factor,TCOF1,Transporter,Inhibition,Transcription regulation,x,"Binding of Cebpb, Zfp161, and Sp1 transcription factors was specific to the Tcof1 regulatory region in P19 cells.",18771418
1498,AIP,Generic binding protein,FBXO11,Generic binding protein,Inhibition,Binding,x,AIP binds to and inhibits FBXO11.,31042473
1499,Nucleophosmin,Generic binding protein,RelA (p65 NF-kB subunit),Transcription factor,Activation,Binding,x,Interaction of purified Nucleophosmin with RelA (p65 NF-kB subunit) was shown by liquid-chromatography mass spectrometry and directed functional perturbation studies using RNA interference.,14743216;16740634;17426024;21988832;24523406;28003476;29535419;39103576
1500,c-Myb,Transcription factor,c-Jun,Transcription factor,Activation,Transcription regulation,x,c-Myb binds and induces c-Jun gene promoter.,21261996
1501,NCAM1,Generic binding protein,PTPR-alpha,Protein phosphatase,Activation,Binding,x,NCAM1 binds to and activates RPTPalpha,15623578
1502,IMP2,Generic binding protein,ALDOA,Generic enzyme,Activation,Binding,x,IMP2 binds to and activates ALDOA.,38443347
1503,FKHR,Transcription factor,ATG13,Protein,Activation,Transcription regulation,x,FKHR activates transcription of ATG13.,22761592;28622295;36282572;38837406
1504,Androgen receptor,Transcription factor,Calcineurin A (alpha),Protein phosphatase,Inhibition,Transcription regulation,x,Androgen receptor regulates transcription of Calcineurin A (alpha).,17721441;18390925;19668381;20634343;20890304;27402875;33640491
1505,ZNF282,Transcription factor,PR (membrane),Transcription factor,Activation,Transcription regulation,x,ZNF282 co-activates transcription of PR (membrane).,22986521
1506,RACK1,Generic binding protein,IKK-alpha,Protein kinase,Inhibition,Binding,x,RACK1 binds to and inhibits IKK-alpha.,24323043
1507,PIMT,Generic enzyme,MED1,Transcription factor,Activation,Binding,x,PIMT binds to and activates MED1.,26468734
1508,MLL2,Generic enzyme,Bcl-6,Transcription factor,Activation,Transcription regulation,x,MLL2 co-activates transcription of Bcl-6.,29861161
1509,ING2,Generic binding protein,Sin3A,Generic binding protein,Activation,Binding,x, ING2 interacts with Sin3A.,16387653;16728974;17949986;20142042;20676127;22206758;22808232;22984288;28514442;28554894
1510,hASH1,Transcription factor,L-Myc,Transcription factor,Activation,Transcription regulation,x,hASH1 activates transcription of L-Myc.,30121393;34466783;35194152;35748745
1511,BRG1,Generic enzyme,Drebrin,Generic binding protein,Activation,Transcription regulation,x,BRG1 co-activates transcription of Drebrin.,27422367;31913353
1512,SOX2,Transcription factor,IMP2,Generic binding protein,Activation,Transcription regulation,x,SOX2 regulates transcription of IMP2.,19884255;24909994;25077433;33915080
1513,Sin3A,Generic binding protein,TIPIN,Generic binding protein,Inhibition,Transcription regulation,x,Sin3A co-inhibits transcription of TIPIN.,29059365
1514,STAT3,Transcription factor,NANOG,Transcription factor,Activation,Transcription regulation,x,Nanog expression is up-regulated by the binding of STAT3 to an enhancer element in the Nanog gene.,16801560;17211451;19785992;21689689;23612755;23788624;24324557;24344100;24462277;24466030;24820265;25261365;26124007;26556875;26801672;27576197;29572224;30242135;30514857;30917918;31235785;31563432;31959918;32273089;32507856;33262462;33323379;33682185;34741044;36130502;36857181;38886396
1515,BRG1,Generic enzyme,PCDH17,Generic binding protein,Activation,Transcription regulation,x,BRG1 co-activates transcription of PCDH17.,26459759
1516,Sirtuin6,Generic enzyme,Follistatin,Generic binding protein,Inhibition,Transcription regulation,x,Sirtuin6 co-inhibits transcription of Follistatin.,29246685;30143629
1517,CTCF,Transcription factor,ITGB8,Generic receptor,Activation,Transcription regulation,x,CTCF activates transcription of ITGB8.,32807777
1518,Adenylate cyclase type II,Generic enzyme,Adenylate cyclase type V,Generic enzyme,Activation,Binding,x,Adenylate cyclases 2 and 5 can form a functional complex which exhibits enhanced functional responses in the presence of Galphas.,9268375;18164588
1519,MeCP2,Generic binding protein,SHANK3,Generic binding protein,Activation,Transcription regulation,x,MeCP2 co-activates transcription of SHANK3.,24164323
1520,NCOA1 (SRC1),Generic enzyme,Fam78b,Protein,Inhibition,Transcription regulation,x,NCOA1 (SRC1) co-inhibits transcription of Fam78b.,29567811
1521,PROX1,Transcription factor,RelA (p65 NF-kB subunit),Transcription factor,Activation,Binding,x,PROX1 binds to and activates RelA (p65 NF-kB subunit).,28646551
1522,ANKRD28,Generic binding protein,CDCA1,Generic binding protein,Activation,Transcription regulation,x,ANKRD28 co-activates transcription of CDCA1.,25701787
1523,HIC1,Transcription factor,Ephrin-A1,Receptor ligand,Inhibition,Transcription regulation,x,HIC1 is a direct transcriptional repressor of the ephrin-A1 promoter.,20154726;28009350
1524,WTAP,Protein,MEF2C,Transcription factor,Activation,Transcription regulation,x,WTAP co-activates transcription of MEF2C.,38224851
1525,OFD1,Protein,PIBF,Receptor ligand,Activation,Binding,x,OFD1 binds to and activates PIBF.,34241634;36070319
1526,C11orf9,Transcription factor,PMEPA1,Generic binding protein,Inhibition,Transcription regulation,x,C11orf9 inhibits transcription of PMEPA1.,32997974
1527,GLI-3,Transcription factor,VMP1,Protein,Activation,Transcription regulation,x,GLI3 binds to the VMP1 promoter and complex with the histone acetyltransferase p300 to regulate this promoter activity.,22535956;33318473
1528,ZNF306,Transcription factor,MAD2b,Generic binding protein,Inhibition,Transcription regulation,x,ZNF306 inhibits transcription of MAD2b.,36012568
1529,SRF,Transcription factor,NANOG,Transcription factor,Activation,Transcription regulation,x,SRF activates transcription of NANOG.,39392751
1530,METTL14,Generic enzyme,DGCR8,Generic binding protein,Activation,Binding,x,METTL14 binds to and activates DGCR8.,34371001;36794620;37449516
1531,SRF,Transcription factor,Profilin I,Generic binding protein,Activation,Transcription regulation,x,"Profilin I was identificated as SRF transcription target by using luciferase reporter assay, gel shift, chromatin immunoprecipitation, and mRNA expression following RNAi knockdown of SRF.",16365378;16928770;23264443
1532,EGR1,Transcription factor,KLF4,Transcription factor,Activation,Transcription regulation,x,22854048.,22854048;28256619;37762678
1533,c-Jun,Transcription factor,JunB,Transcription factor,Activation,Transcription regulation,x,c-Jun activates transcription of JunB.,15240010;15892868;19553068;23135283;29443959;30044990;31802004;33961781
1534,beta-TrCP,Generic binding protein,AP-4,Transcription factor,Inhibition,Binding,x,beta-TrCP binds to and inhibits AP-4.,24500709;28514442
1535,C/EBPalpha,Transcription factor,ACLY,Generic enzyme,Activation,Transcription regulation,x,C/EBPalpha binds to gene ACLY promoter and activates ACLY expression.,17290224
1536,METTL14,Generic enzyme,hASH1,Transcription factor,Activation,Binding,x,METTL14 binds to and activates hASH1.,38331110
1537,ARX,Transcription factor,SMCX,Generic enzyme,Activation,Transcription regulation,x,ARX activates transcription of SMCX.,23246292;31691806
1538,Rb protein,Generic binding protein,MAP1LC3A,Generic binding protein,Activation,Transcription regulation,x,Rb protein co-activates transcription of MAP1LC3A.,26598524
1539,KLF4,Transcription factor,NDRG1,Generic binding protein,Inhibition,Transcription regulation,x,KLF4 inhibits transcription of NDRG1.,18555785;32467224;33640491;33915080;37356737
1540,AML1 (RUNX1),Transcription factor,FOXP1,Transcription factor,Activation,Transcription regulation,x,AML1 (RUNX1) activates transcription of FOXP1.,26350416;30185409;31712577
1541,Androgen receptor,Transcription factor,SMAD1,Transcription factor,Activation,Binding,x,Androgen receptor binds to and activates SMAD1.,23734213;35385726
1542,RelA (p65 NF-kB subunit),Transcription factor,IRS-2,Generic binding protein,Activation,Binding,x,RelA (p65 NF-kB subunit) binds to and activates IRS-2.,21042750
1543,IRF8,Transcription factor,GM3 synthase,Generic enzyme,Activation,Transcription regulation,x,IRF8 activates transcription of GM3 synthase.,23319570
