List Report,,,,,,,,,,,
MetaCore Data,,,,,,,,CDDI Data,,,
#,Input IDs,Network Object Name,Gene Symbol,Unit (protein or chem),Object Type,Description,Therapeutic Drugs,CDDI Biomarker,CDDI Biomarker Role,CDDI Biomarker Type,CDDI Genes & Targets
1045,,CNOT6,Cnot6,CNOT6_MOUSE,Generic binding protein,CCR4-NOT transcription complex subunit 6,,,,,
1046,,CNP,Nppc,ANFC_MOUSE,Receptor ligand,C-type natriuretic peptide,,,,,
1047,,CNP1,Cnp,CN37_MOUSE,Generic enzyme,"2',3'-cyclic-nucleotide 3'-phosphodiesterase",,,,,
1048,,CNRIP1,Cnrip1,CNRP1_MOUSE,Generic binding protein,CB1 cannabinoid receptor-interacting protein 1,,,,,
1049,,CNTFR alpha,Cntfr,CNTFR_MOUSE,Generic receptor,Ciliary neurotrophic factor receptor subunit alpha,,,,,
1050,,CNTLN,Cntln,CNTLN_MOUSE,Generic binding protein,Centlein,,,,,
1051,,CNTN1 (F3),Cntn1,CNTN1_MOUSE,Receptor ligand,Contactin-1,,,,,
1052,,CNTN5,Cntn5,CNTN5_MOUSE,Generic binding protein,Contactin-5,,,,,
1053,,CNTN6,Cntn6,CNTN6_MOUSE,Generic binding protein,Contactin-6,,,,,
1054,,CNTNAP5,Cntnap5a,CTP5A_MOUSE,Generic binding protein,Contactin-associated protein like 5-1,,,,,
1055,,COBL,Cobl,COBL_MOUSE,Generic binding protein,Protein cordon-bleu,,,,,
1056,,COBRA1,Nelfb,NELFB_MOUSE,Generic binding protein,Negative elongation factor B,,,,,
1057,,COG5,Cog5,COG5_MOUSE,Generic binding protein,Conserved oligomeric Golgi complex subunit 5,,,,,
1058,,COG7,Cog7,COG7_MOUSE,Generic binding protein,Conserved oligomeric Golgi complex subunit 7,,,,,
1059,,COL6A1,Col6a1,CO6A1_MOUSE,Generic binding protein,Collagen alpha-1(VI) chain,,,,,
1060,,COMMD10,Commd10,COMDA_MOUSE,Generic binding protein,COMM domain-containing protein 10,,,,,
1061,,COMMD5,Commd5,COMD5_MOUSE,Generic binding protein,COMM domain-containing protein 5,,,,,
1062,,COMMD8,Commd8,COMD8_MOUSE,Generic binding protein,COMM domain-containing protein 8,,,,,
1063,,COMP,Comp,COMP_MOUSE,Generic binding protein,Cartilage oligomeric matrix protein,,,,,
1064,,COMT,Comt,COMT_MOUSE,Generic enzyme,Catechol O-methyltransferase,Tolcapone,,,,
1065,,COMTD1,Comtd1,CMTD1_MOUSE,Generic enzyme,Catechol O-methyltransferase domain-containing protein 1,,,,,
1066,,COPB,Copb1,COPB_MOUSE,Generic binding protein,Coatomer subunit beta,,,,,
1067,,COPB2,Copb2,COPB2_MOUSE,Generic binding protein,Coatomer subunit beta',,,,,
1068,,COPE,Cope,COPE_MOUSE,Generic binding protein,Coatomer subunit epsilon,,,,,
1069,,COPG1,Copg1,COPG1_MOUSE,Generic binding protein,Coatomer subunit gamma-1,,,,,
1070,,COPS3,Cops3,CSN3_MOUSE,Generic binding protein,COP9 signalosome complex subunit 3,,,,,
1071,,COPS6,Cops6,CSN6_MOUSE,Generic binding protein,COP9 signalosome complex subunit 6,,,,,
1072,,COPS7B,Cops7b,CSN7B_MOUSE,Generic binding protein,COP9 signalosome complex subunit 7b,,,,,
1073,,COPZ1,Copz1,COPZ1_MOUSE,Generic binding protein,Coatomer subunit zeta-1,,,,,
1074,,COQ10A,Coq10a,Coq10a,Protein,coenzyme Q10 homolog A (yeast),,,,,
1075,,COQ10B,Coq10b,CQ10B_MOUSE,Protein,"Coenzyme Q-binding protein COQ10 homolog B, mitochondrial",,,,,
1076,,COQ6,Coq6,COQ6_MOUSE,Generic enzyme,"Ubiquinone biosynthesis monooxygenase COQ6, mitochondrial",,,,,
1077,,COQ7,Coq7,COQ7_MOUSE,Generic binding protein,"5-demethoxyubiquinone hydroxylase, mitochondrial",CHGN111,,,,
1078,,"CORO1A(CLABP, TACO)",Coro1a,COR1A_MOUSE,Generic binding protein,Coronin-1A,,,,,
1079,,CORO1C,Coro1c,COR1C_MOUSE,Generic binding protein,Coronin-1C,,,,,
1080,,CORO6,Coro6,CORO6_MOUSE,Protein,Coronin-6,,,,,
1081,,CORTBP2,Cttnbp2,CTTB2_MOUSE,Generic binding protein,Cortactin-binding protein 2,,,,,
1082,,COX IV-1,Cox4i1,COX41_MOUSE,Generic enzyme,"Cytochrome c oxidase subunit 4 isoform 1, mitochondrial",,,,,
1083,,COX IV-2,Cox4i2,COX42_MOUSE,Generic enzyme,"Cytochrome c oxidase subunit 4 isoform 2, mitochondrial",,,,,
1084,,COX VIII-2,Cox8a,COX8A_MOUSE,Generic enzyme,"Cytochrome c oxidase subunit 8A, mitochondrial",,,,,
1085,,COX VIIa-1,Cox7a1,CX7A1_MOUSE,Generic enzyme,"Cytochrome c oxidase subunit 7A1, mitochondrial",,,,,
1086,,COX VIIa-2,Cox7a2,CX7A2_MOUSE,Generic enzyme,"Cytochrome c oxidase subunit 7A2, mitochondrial",,,,,
1087,,COX VIIa-2L,Cox7a2l,COX7R_MOUSE,Generic enzyme,"Cytochrome c oxidase subunit 7A-related protein, mitochondrial",,,,,
1088,,COX VIb-1,Cox6b1,CX6B1_MOUSE,Generic enzyme,Cytochrome c oxidase subunit 6B1,,,,,
1089,,COX Va,Cox5a,COX5A_MOUSE,Generic enzyme,"Cytochrome c oxidase subunit 5A, mitochondrial",,,,,
1090,,COX-2 (PTGS2),Ptgs2,PGH2_MOUSE,Generic enzyme,Prostaglandin G/H synthase 2,Tolfenamic acid,,,,
1091,,COX-2 (PTGS2),Ptgs2,PGH2_MOUSE,Generic enzyme,Prostaglandin G/H synthase 2,Tenidap,,,,
1092,,COX-2 (PTGS2),Ptgs2,PGH2_MOUSE,Generic enzyme,Prostaglandin G/H synthase 2,Tiaprofenic acid,,,,
1093,,COX-2 (PTGS2),Ptgs2,PGH2_MOUSE,Generic enzyme,Prostaglandin G/H synthase 2,butibufen,,,,
1094,,COX-2 (PTGS2),Ptgs2,PGH2_MOUSE,Generic enzyme,Prostaglandin G/H synthase 2,Zomepirac,,,,
1095,,COX-2 (PTGS2),Ptgs2,PGH2_MOUSE,Generic enzyme,Prostaglandin G/H synthase 2,Loxoprofen,,,,
1096,,COX-2 (PTGS2),Ptgs2,PGH2_MOUSE,Generic enzyme,Prostaglandin G/H synthase 2,Sulindac,,,,
1097,,COX-2 (PTGS2),Ptgs2,PGH2_MOUSE,Generic enzyme,Prostaglandin G/H synthase 2,Meclofenamic acid,,,,
1098,,COX-2 (PTGS2),Ptgs2,PGH2_MOUSE,Generic enzyme,Prostaglandin G/H synthase 2,Nitroflurbiprofen,,,,
1099,,COX-2 (PTGS2),Ptgs2,PGH2_MOUSE,Generic enzyme,Prostaglandin G/H synthase 2,Tenoxicam,,,,
1100,,COX-2 (PTGS2),Ptgs2,PGH2_MOUSE,Generic enzyme,Prostaglandin G/H synthase 2,Bromfenac,,,,
1101,,COX-2 (PTGS2),Ptgs2,PGH2_MOUSE,Generic enzyme,Prostaglandin G/H synthase 2,Rofecoxib,,,,
1102,,COX-2 (PTGS2),Ptgs2,PGH2_MOUSE,Generic enzyme,Prostaglandin G/H synthase 2,Timegadine,,,,
1103,,COX-2 (PTGS2),Ptgs2,PGH2_MOUSE,Generic enzyme,Prostaglandin G/H synthase 2,Tolmetin,,,,
1104,,COX-2 (PTGS2),Ptgs2,PGH2_MOUSE,Generic enzyme,Prostaglandin G/H synthase 2,Fenflumizol,,,,
1105,,COX-2 (PTGS2),Ptgs2,PGH2_MOUSE,Generic enzyme,Prostaglandin G/H synthase 2,Ibuprofen,,,,
1106,,COX-2 (PTGS2),Ptgs2,PGH2_MOUSE,Generic enzyme,Prostaglandin G/H synthase 2,Salicylate,,,,
1107,,COX-2 (PTGS2),Ptgs2,PGH2_MOUSE,Generic enzyme,Prostaglandin G/H synthase 2,Curcumin,,,,
1108,,COX-2 (PTGS2),Ptgs2,PGH2_MOUSE,Generic enzyme,Prostaglandin G/H synthase 2,Zaltoprofen,,,,
1109,,COX-2 (PTGS2),Ptgs2,PGH2_MOUSE,Generic enzyme,Prostaglandin G/H synthase 2,Etoricoxib,,,,
1110,,COX-2 (PTGS2),Ptgs2,PGH2_MOUSE,Generic enzyme,Prostaglandin G/H synthase 2,Acemetacin,,,,
1111,,COX-2 (PTGS2),Ptgs2,PGH2_MOUSE,Generic enzyme,Prostaglandin G/H synthase 2,Ibufenac,,,,
1112,,COX-2 (PTGS2),Ptgs2,PGH2_MOUSE,Generic enzyme,Prostaglandin G/H synthase 2,Aspirin,,,,
1113,,COX-2 (PTGS2),Ptgs2,PGH2_MOUSE,Generic enzyme,Prostaglandin G/H synthase 2,Droxicam,,,,
1114,,COX-2 (PTGS2),Ptgs2,PGH2_MOUSE,Generic enzyme,Prostaglandin G/H synthase 2,Ketorolac,,,,
1115,,COX-2 (PTGS2),Ptgs2,PGH2_MOUSE,Generic enzyme,Prostaglandin G/H synthase 2,Nitroaspirin,,,,
1116,,COX-2 (PTGS2),Ptgs2,PGH2_MOUSE,Generic enzyme,Prostaglandin G/H synthase 2,Mesalazine,,,,
1117,,COX-2 (PTGS2),Ptgs2,PGH2_MOUSE,Generic enzyme,Prostaglandin G/H synthase 2,Leflunomide,,,,
1118,,COX-2 (PTGS2),Ptgs2,PGH2_MOUSE,Generic enzyme,Prostaglandin G/H synthase 2,Rebamipide,,,,
1119,,COX-2 (PTGS2),Ptgs2,PGH2_MOUSE,Generic enzyme,Prostaglandin G/H synthase 2,Nabumetone,,,,
1120,,COX-2 (PTGS2),Ptgs2,PGH2_MOUSE,Generic enzyme,Prostaglandin G/H synthase 2,Meloxicam,,,,
1121,,COX-2 (PTGS2),Ptgs2,PGH2_MOUSE,Generic enzyme,Prostaglandin G/H synthase 2,Terbogrel,,,,
1122,,COX-2 (PTGS2),Ptgs2,PGH2_MOUSE,Generic enzyme,Prostaglandin G/H synthase 2,Fenoprofen,,,,
1123,,COX-2 (PTGS2),Ptgs2,PGH2_MOUSE,Generic enzyme,Prostaglandin G/H synthase 2,Diflunisal,,,,
1124,,COX-2 (PTGS2),Ptgs2,PGH2_MOUSE,Generic enzyme,Prostaglandin G/H synthase 2,Apricoxib,,,,
1125,,COX-2 (PTGS2),Ptgs2,PGH2_MOUSE,Generic enzyme,Prostaglandin G/H synthase 2,Celecoxib,,,,
1126,,COX-2 (PTGS2),Ptgs2,PGH2_MOUSE,Generic enzyme,Prostaglandin G/H synthase 2,Parecoxib,,,,
1127,,COX-2 (PTGS2),Ptgs2,PGH2_MOUSE,Generic enzyme,Prostaglandin G/H synthase 2,Phenacetin,,,,
1128,,COX-2 (PTGS2),Ptgs2,PGH2_MOUSE,Generic enzyme,Prostaglandin G/H synthase 2,Piroxicam,,,,
1129,,COX-2 (PTGS2),Ptgs2,PGH2_MOUSE,Generic enzyme,Prostaglandin G/H synthase 2,Lumiracoxib,,,,
1130,,COX-2 (PTGS2),Ptgs2,PGH2_MOUSE,Generic enzyme,Prostaglandin G/H synthase 2,NCX701,,,,
1131,,COX-2 (PTGS2),Ptgs2,PGH2_MOUSE,Generic enzyme,Prostaglandin G/H synthase 2,Lornoxicam,,,,
1132,,COX-2 (PTGS2),Ptgs2,PGH2_MOUSE,Generic enzyme,Prostaglandin G/H synthase 2,Aceclofenac,,,,
1133,,COX-2 (PTGS2),Ptgs2,PGH2_MOUSE,Generic enzyme,Prostaglandin G/H synthase 2,Etodolac,,,,
1134,,COX-2 (PTGS2),Ptgs2,PGH2_MOUSE,Generic enzyme,Prostaglandin G/H synthase 2,Tilmacoxib,,,,
1135,,COX-2 (PTGS2),Ptgs2,PGH2_MOUSE,Generic enzyme,Prostaglandin G/H synthase 2,Valdecoxib,,,,
1136,,COX11,Cox11,COX11_MOUSE,Generic binding protein,"Cytochrome c oxidase assembly protein COX11, mitochondrial",,,,,
1137,,COX16,Cox16,COX16_MOUSE,Generic binding protein,"Cytochrome c oxidase assembly protein COX16 homolog, mitochondrial",,,,,
1138,,COX19,Cox19,COX19_MOUSE,Protein,Cytochrome c oxidase assembly protein COX19,,,,,
1139,,CPA2,Cpa2,CBPA2_MOUSE,Generic protease,Carboxypeptidase A2,,,,,
1140,,CPB1,Cpb1,Cpb1,Generic protease,carboxypeptidase B1 (tissue),,,,,
1141,,CPEB1,Cpeb1,CPEB1_MOUSE,Generic binding protein,Cytoplasmic polyadenylation element-binding protein 1,,,,,
1142,,CPEB4,Cpeb4,CPEB4_MOUSE,Generic binding protein,Cytoplasmic polyadenylation element-binding protein 4,,,,,
1143,,CPNE2,Cpne2,CPNE2_MOUSE,Protein,Copine-2,,,,,
1144,,CPSF1,Cpsf1,CPSF1_MOUSE,Generic binding protein,Cleavage and polyadenylation specificity factor subunit 1,,,,,
1145,,CPSF2,Cpsf2,CPSF2_MOUSE,Generic binding protein,Cleavage and polyadenylation specificity factor subunit 2,,,,,
1146,,CPSF3,Cpsf3,CPSF3_MOUSE,Generic binding protein,Cleavage and polyadenylation specificity factor subunit 3,,,,,
1147,,CPSF7,Cpsf7,CPSF7_MOUSE,Generic binding protein,Cleavage and polyadenylation specificity factor subunit 7,,,,,
1148,,CPXM2,Cpxm2,CPXM2_MOUSE,Metalloprotease,Inactive carboxypeptidase-like protein X2,,,,,
1149,,CR1L,Cr1l,CR1L_MOUSE,Generic protease,Complement component receptor 1-like protein,,,,,
1150,,CREAM1,Gtf2ird1,GT2D1_MOUSE,Transcription factor,General transcription factor II-I repeat domain-containing protein 1,,,,,
1151,,CREB3L2,Creb3l2,CR3L2_MOUSE,Transcription factor,Cyclic AMP-responsive element-binding protein 3-like protein 2,,,,,
1152,,CREB5,Creb5,CREB5_MOUSE,Transcription factor,Cyclic AMP-responsive element-binding protein 5,,,,,
1153,,CREBL2,Crebl2,CRBL2_MOUSE,Transcription factor,cAMP-responsive element-binding protein-like 2,,,,,
1154,,CREG2,Creg2,CREG2_MOUSE,Generic binding protein,Protein CREG2,,,,,
1155,,CRELD1,Creld1,CREL1_MOUSE,Generic binding protein,Protein disulfide isomerase Creld1,,,,,
1156,,CREM (activators),Crem,CREM_MOUSE,Transcription factor,cAMP-responsive element modulator,,,,,
1157,,CREM (repressors),Crem,CREM_MOUSE,Transcription factor,cAMP-responsive element modulator,,,,,
1158,,CRIPT,Cript,CRIPT_MOUSE,Generic binding protein,Cysteine-rich PDZ-binding protein,,,,,
1159,,CRLF2,Crlf2,CRLF2_MOUSE,Generic receptor,Cytokine receptor-like factor 2,,,,,
1160,,CRLS1,Crls1,CRLS1_MOUSE,Generic enzyme,Cardiolipin synthase (CMP-forming),,,,,
1161,,CRMP1,Crmp1,DPYL1_MOUSE,Generic binding protein,Dihydropyrimidinase-related protein 1,,,,,
1162,,CRMP2,Dpysl2,DPYL2_MOUSE,Generic binding protein,Dihydropyrimidinase-related protein 2,,,,,
1163,,CRMP4,Dpysl3,DPYL3_MOUSE,Generic binding protein,Dihydropyrimidinase-related protein 3,,,,,
1164,,CRMP5,Dpysl5,DPYL5_MOUSE,Generic binding protein,Dihydropyrimidinase-related protein 5,,,,,
1165,,CRP1,Csrp1,CSRP1_MOUSE,Generic binding protein,Cysteine and glycine-rich protein 1,,,,,
1166,,CRP2,Csrp2,CSRP2_MOUSE,Generic binding protein,Cysteine and glycine-rich protein 2,,,,,
1167,,CRTL1,Hapln1,HPLN1_MOUSE,Generic binding protein,Hyaluronan and proteoglycan link protein 1,,,,,
1168,,CRY2,Cry2,CRY2_MOUSE,Transcription factor,Cryptochrome-2,,,,,
1169,,CRYZL1,Cryzl1,QORL1_MOUSE,Generic enzyme,Quinone oxidoreductase-like protein 1,,,,,
1170,,CSAD,Csad,CSAD_MOUSE,Generic enzyme,Cysteine sulfinic acid decarboxylase,,,,,
1171,,CSDC2,Csdc2,CSDC2_MOUSE,Generic binding protein,Cold shock domain-containing protein C2,,,,,
1172,,CSEN4,Kcnip3,CSEN4_MOUSE,Voltage-gated ion channel,Calsenilin isoform 4,,,,,
1173,,CSL4,Exosc1,EXOS1_MOUSE,Generic enzyme,Exosome complex component CSL4,,,,,
1174,,CSMD3,Csmd3,CSMD3_MOUSE,Generic enzyme,CUB and sushi domain-containing protein 3,,,,,
1175,,CSRNP2,Csrnp2,CSRN2_MOUSE,Transcription factor,Cysteine/serine-rich nuclear protein 2,,,,,
1176,,CST11,Cst11,CST11_MOUSE,Generic binding protein,Cystatin-11,,,,,
1177,,CST9L,Cst9,CST9_MOUSE,Generic binding protein,Cystatin-9,,,,,
1178,,CSTF2T,Cstf2t,CSTFT_MOUSE,Generic binding protein,Cleavage stimulation factor subunit 2 tau variant,,,,,
1179,,CTA-221G9.4,2900026A02Rik,K1671_MOUSE,Protein,Uncharacterized protein KIAA1671,,,,,
1180,,CTC1,Ctc1,CTC1_MOUSE,Generic binding protein,CST complex subunit CTC1,,,,,
1181,,CTCF,Ctcf,CTCF_MOUSE,Transcription factor,Transcriptional repressor CTCF,,,,,
1182,,CTDP1,Ctdp1,CTDP1_MOUSE,Protein phosphatase,RNA polymerase II subunit A C-terminal domain phosphatase,,,,,
1183,,CTDSP2 (SCP2),Ctdsp2,CTDS2_MOUSE,Protein phosphatase,Carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 2,,,,,
1184,,CTDSPL,Ctdspl,CTDSL_MOUSE,Generic phosphatase,CTD small phosphatase-like protein,,,,,
1185,,CTDSPL2,Ctdspl2,CTSL2_MOUSE,Generic phosphatase,CTD small phosphatase-like protein 2,,,,,
1186,,CTE2,Acot7,BACH_MOUSE,Generic enzyme,Cytosolic acyl coenzyme A thioester hydrolase,,,,,
1187,,CTIP2,Bcl11b,BC11B_MOUSE,Transcription factor,B-cell lymphoma/leukemia 11B,,,,,
1188,,CTL2,Slc44a2,CTL2_MOUSE,Transporter,Choline transporter-like protein 2,,,,,
1189,,CTNNAL1,Ctnnal1,CTNL1_MOUSE,Generic binding protein,Alpha-catulin,,,,,
1190,,CTNNBL1,Ctnnbl1,CTBL1_MOUSE,Generic binding protein,Beta-catenin-like protein 1,,,,,
1191,,CTSW,Ctsw,CATW_MOUSE,Generic protease,Cathepsin W,,,,,
1192,,CUGBP1,Celf1,CELF1_MOUSE,Generic binding protein,CUGBP Elav-like family member 1,,,,,
1193,,CUTA,Cuta,CUTA_MOUSE,Generic binding protein,Protein CutA,,,,,
1194,,CUTC,Cutc,CUTC_MOUSE,Generic binding protein,Copper homeostasis protein cutC homolog,,,,,
1195,,CVAK104,Scyl2,SCYL2_MOUSE,Protein kinase,SCY1-like protein 2,,,,,
1196,,CWF19L2,Cwf19l2,C19L2_MOUSE,Protein,CWF19-like protein 2,,,,,
1197,,CXCL14,Cxcl14,CXL14_MOUSE,Receptor ligand,C-X-C motif chemokine 14,,,,,
1198,,CXXC1,Cxxc1,CXXC1_MOUSE,Transcription factor,CXXC-type zinc finger protein 1,,,,,
1199,,CXXC4,Cxxc4,CXXC4_MOUSE,Generic binding protein,CXXC-type zinc finger protein 4,,,,,
1200,,CXXC6,Tet1,TET1_MOUSE,Generic enzyme,Methylcytosine dioxygenase TET1,,,,,
1201,,CXorf38,1810030O07Rik,CX038_MOUSE,Protein,Uncharacterized protein CXorf38 homolog,,,,,
1202,,CYB5-M,Cyb5b,CYB5B_MOUSE,Transporter,Cytochrome b5 type B,,,,,
1203,,CYB5R4,Cyb5r4,NB5R4_MOUSE,Generic enzyme,Cytochrome b5 reductase 4,,,,,
1204,,CYBASC3,Cyb561a3,CYAC3_MOUSE,Generic enzyme,Lysosomal membrane ascorbate-dependent ferrireductase CYB561A3,,,,,
1205,,CYC1,Cyc1,CY1_MOUSE,Generic enzyme,"Cytochrome c1, heme protein, mitochondrial",,,,,
1206,,CYFIP2,Cyfip2,CYFP2_MOUSE,Generic binding protein,Cytoplasmic FMR1-interacting protein 2,,,,,
1207,,CYLD,Cyld,CYLD_MOUSE,Generic protease,Ubiquitin carboxyl-terminal hydrolase CYLD,,,,,
1208,,CYP2C8,Cyp2c65,Cyp2c65,Generic enzyme,"cytochrome P450, family 2, subfamily c, polypeptide 65",,,,,
1209,,CYP2S1,Cyp2s1,CP2S1_MOUSE,Generic enzyme,Cytochrome P450 2S1,,,,,
1210,,CYP46,Cyp46a1,CP46A_MOUSE,Generic enzyme,Cholesterol 24-hydroxylase,,,,,
1211,,CYP51A1,Cyp51,CP51A_MOUSE,Generic enzyme,Lanosterol 14-alpha demethylase,,,,,
1212,,CaBP1,Cabp1,CABP1_MOUSE,Generic binding protein,Calcium-binding protein 1,,,,,
1213,,CaMK I,Camk1,KCC1A_MOUSE,Protein kinase,Calcium/calmodulin-dependent protein kinase type 1,,,,,
1214,,CaMK II alpha,Camk2a,KCC2A_MOUSE,Protein kinase,Calcium/calmodulin-dependent protein kinase type II subunit alpha,,,,,
1215,,CaMK II gamma,Camk2g,KCC2G_MOUSE,Protein kinase,Calcium/calmodulin-dependent protein kinase type II subunit gamma,,,,,
1216,,CaMK IV,Camk4,KCC4_MOUSE,Protein kinase,Calcium/calmodulin-dependent protein kinase type IV,,,,,
1217,,CaMKK1,Camkk1,KKCC1_MOUSE,Protein kinase,Calcium/calmodulin-dependent protein kinase kinase 1,,,,,
1218,,CaMKK2,Camkk2,KKCC2_MOUSE,Protein kinase,Calcium/calmodulin-dependent protein kinase kinase 2,,,,,
1219,,Cacng6,Cacng6,CCG6_MOUSE,Voltage-gated ion channel,Voltage-dependent calcium channel gamma-6 subunit,,,,,
1220,,CacyBP(SIP),Cacybp,CYBP_MOUSE,Generic binding protein,Calcyclin-binding protein,,,,,
1221,,Cadherin 10,Cdh10,CAD10_MOUSE,Generic binding protein,Cadherin-10,,,,,
1222,,Cadherin 11,Cdh11,CAD11_MOUSE,Generic binding protein,Cadherin-11,,,,,
1223,,Cadherin 7,Cdh7,CADH7_MOUSE,Generic binding protein,Cadherin-7,,,,,
1224,,Cadherin 8,Cdh8,CADH8_MOUSE,Generic binding protein,Cadherin-8,,,,,
1225,,Cadherin 9,Cdh9,CADH9_MOUSE,Generic binding protein,Cadherin-9,,,,,
1226,,CalDAG-GEFIII,Rasgrp3,Rasgrp3,"Regulators (GDI, GAP, GEF)","RAS, guanyl releasing protein 3",,,,,
1227,,Calcineurin A (alpha),Ppp3ca,PP2BA_MOUSE,Protein phosphatase,Protein phosphatase 3 catalytic subunit alpha,,,,,
1228,,Calcineurin A (beta),Ppp3cb,PP2BB_MOUSE,Protein phosphatase,Serine/threonine-protein phosphatase 2B catalytic subunit beta isoform,,,,,
1229,,Calcineurin B1,Ppp3r1,CANB1_MOUSE,Generic binding protein,Calcineurin subunit B type 1,,,,,
1230,,Calcipressin 2,Rcan2,RCAN2_MOUSE,Generic binding protein,Calcipressin-2,,,,,
1231,,Calcipressin-3,Rcan3,RCAN3_MOUSE,Generic binding protein,Calcipressin-3,,,,,
1232,,Calmyrin,Cib1,CIB1_MOUSE,Generic binding protein,Calcium and integrin-binding protein 1,,,,,
1233,,Calpain 1(mu),Capn1,CAN1_MOUSE,Generic protease,Calpain-1 catalytic subunit,,,,,
1234,,Calpain 7,Capn7,CAN7_MOUSE,Generic protease,Calpain-7,,,,,
1235,,Calponin-2,Cnn2,CNN2_MOUSE,Generic binding protein,Calponin-2,,,,,
1236,,Calsequestrin 2 (cardiac muscle),Casq2,CASQ2_MOUSE,Generic binding protein,Calsequestrin-2,,,,,
1237,,Calsyntenin-1,Clstn1,CSTN1_MOUSE,Generic binding protein,Calsyntenin-1,,,,,
1238,,Calsyntenin-3,Clstn3,CSTN3_MOUSE,Generic binding protein,Calsyntenin-3,,,,,
1239,,CapG,Capg,CAPG_MOUSE,Generic binding protein,Macrophage-capping protein,,,,,
1240,,Carbonic anhydrase II,Car2,CAH2_MOUSE,Generic enzyme,Carbonic anhydrase 2,Sultiame,,,,
1241,,Carbonic anhydrase II,Car2,CAH2_MOUSE,Generic enzyme,Carbonic anhydrase 2,Ethinamate,,,,
1242,,Carbonic anhydrase II,Car2,CAH2_MOUSE,Generic enzyme,Carbonic anhydrase 2,Benzthiazide,,,,
1243,,Carbonic anhydrase II,Car2,CAH2_MOUSE,Generic enzyme,Carbonic anhydrase 2,Indisulam,,,,
1244,,Carbonic anhydrase II,Car2,CAH2_MOUSE,Generic enzyme,Carbonic anhydrase 2,Trichlormethiazide,,,,
1245,,Carbonic anhydrase II,Car2,CAH2_MOUSE,Generic enzyme,Carbonic anhydrase 2,Hydroflumethiazide,,,,
1246,,Carbonic anhydrase II,Car2,CAH2_MOUSE,Generic enzyme,Carbonic anhydrase 2,Dorzolamide,,,,
1247,,Carbonic anhydrase II,Car2,CAH2_MOUSE,Generic enzyme,Carbonic anhydrase 2,Celecoxib,,,,
1248,,Carbonic anhydrase II,Car2,CAH2_MOUSE,Generic enzyme,Carbonic anhydrase 2,Acetazolamide,,,,
1249,,Carbonic anhydrase XI,Car11,CAH11_MOUSE,Generic enzyme,Carbonic anhydrase-related protein 11,Acetazolamide,,,,
1250,,Carboxypeptidase H,Cpe,CBPE_MOUSE,Generic protease,Carboxypeptidase E,,,,,
1251,,Carboxypeptidase M,Cpm,CBPM_MOUSE,Generic protease,Carboxypeptidase M,,,,,
1252,,Carom,Fchsd2,FCSD2_MOUSE,Generic binding protein,F-BAR and double SH3 domains protein 2,,,,,
1253,,Casein kinase I alpha,Csnk1a1,KC1A_MOUSE,Protein kinase,Casein kinase I isoform alpha,,,,,
1254,,Casein kinase I delta,Csnk1d,KC1D_MOUSE,Protein kinase,Casein kinase I isoform delta,,,,,
1255,,Casein kinase I epsilon,Csnk1e,KC1E_MOUSE,Protein kinase,Casein kinase I isoform epsilon,,,,,
1256,,Casein kinase I gamma 2,Csnk1g2,KC1G2_MOUSE,Protein kinase,Casein kinase I isoform gamma-2,,,,,
1257,,Casein kinase I gamma-3,Csnk1g3,KC1G3_MOUSE,Protein kinase,Casein kinase I isoform gamma-3,,,,,
1258,,"Casein kinase II, beta chain (Phosvitin)",Csnk2b,CSK2B_MOUSE,Generic binding protein,Casein kinase II subunit beta,,,,,
1259,,Caspase-7,Casp7,CASP7_MOUSE,Generic protease,Caspase-7,z-vad-FMK,,,,
1260,,Caspase-7,Casp7,CASP7_MOUSE,Generic protease,Caspase-7,"As(,2)O(,3)",,,,
1261,,Caspase-9,Casp9,CASP9_MOUSE,Generic protease,Caspase-9,Imexon,,,,
1262,,Caspase-9,Casp9,CASP9_MOUSE,Generic protease,Caspase-9,Atiprimod,,,,
1263,,Caspase-9,Casp9,CASP9_MOUSE,Generic protease,Caspase-9,"As(,2)O(,3)",,,,
1264,,Caspr2,Cntnap2,CNTP2_MOUSE,Generic binding protein,Contactin-associated protein-like 2,,,,,
1265,,Cathepsin O,Ctso,CATO_MOUSE,Generic protease,Cathepsin O,,,,,
1266,,Cathepsin S,Ctss,CATS_MOUSE,Generic protease,Cathepsin S,CRA028129,,,,
1267,,Cathepsin V,Ctsl,CATL1_MOUSE,Generic protease,Procathepsin L,,,,,
1268,,Ccdc12,Ccdc12,CCD12_MOUSE,Protein,Coiled-coil domain-containing protein 12,,,,,
1269,,Ccdc123,Cep89,CEP89_MOUSE,Generic binding protein,Centrosomal protein of 89 kDa,,,,,
1270,,Cdt6 (angiopoietin-like),Angptl7,ANGL7_MOUSE,Generic binding protein,Angiopoietin-related protein 7,,,,,
1271,,Centrin 3,Cetn3,CETN3_MOUSE,Generic binding protein,Centrin-3,,,,,
1272,,Centrin 4,Cetn4,CETN4_MOUSE,Generic binding protein,Centrin-4,,,,,
1273,,Centrin-2,Cetn2,CETN2_MOUSE,Generic binding protein,Centrin-2,,,,,
1274,,Cep63,Cep63,CEP63_MOUSE,Generic binding protein,Centrosomal protein of 63 kDa,,,,,
